communication_round,Loss,Accuracy,Time
1,0.8707385600374143,28.98,286.2244713306427
2,0.6261030956623126,41.82,280.25292563438416
3,0.46086109890850857,55.31,292.3918409347534
4,0.32556062521498885,60.02,279.31852555274963
5,0.3090199054197503,63.14,329.25137066841125
6,0.21787160159292718,64.31,272.87661576271057
7,0.2189615378635427,68.48,306.67003655433655
8,0.19659958172009154,71.19,299.34325218200684
9,0.15302658237761463,71.15,288.19134163856506
10,0.14779389417026106,71.35,283.2961428165436
11,0.12799652923399152,77.09,629.564802646637
12,0.15314489090654207,74.69,664.440104007721
13,0.11633551423719508,76.72,561.1689176559448
14,0.1076106326048403,75.2,640.4610440731049
15,0.11298662886322883,76.11,526.6095514297485
16,0.1010877822495477,75.9,616.2699518203735
17,0.08612735617720964,78.41,647.640887260437
18,0.08908863276345443,77.73,625.8089187145233
19,0.08465450222028705,74.89,550.6579377651215
20,0.08305199636678622,79.42,540.4521634578705
21,0.059420751850995115,74.38,595.2918934822083
22,0.0752658394357276,77.11,610.5547385215759
23,0.07615863264694389,77.03,629.8094882965088
24,0.07392399916474374,75.89,656.6200687885284
25,0.06695976082593945,74.51,647.352810382843
26,0.07422789373769666,76.91,600.9221906661987
27,0.06494589380030294,75.24,662.8114960193634
28,0.07356452590013733,77.5,606.9556882381439
29,0.05722883000818733,79.51,711.7509062290192
30,0.06089280928593317,77.75,622.0533881187439
31,0.06644519160053705,79.01,586.3089187145233
32,0.058847092754167996,78.33,660.2653543949127
33,0.05738715675153415,75.68,650.5779070854187
34,0.047954346475904075,79.57,677.7985548973083
35,0.05497282144008523,77.39,640.4510147571564
36,0.05707940321318302,79.09,652.8023421764374
37,0.04549131093211946,78.91,637.6891331672668
38,0.04951529381835952,78.23,647.6851782798767
39,0.048151117928408343,79.15,617.4490134716034
40,0.0468483738681154,77.01,642.5698447227478
41,0.0443130444608814,77.55,660.8705880641937
42,0.05022139200239763,79.22,629.0455269813538
43,0.042854845792194105,80.68,635.0580554008484
44,0.044218209100143804,77.97,635.9372816085815
45,0.04013327686456801,79.88,644.4189636707306
46,0.03652491405137191,78.22,631.6686465740204
47,0.041817415242084544,78.63,638.119959115982
48,0.04102690662566365,80.71,667.0820686817169
49,0.03972841658542246,76.64,664.8186454772949
50,0.04566822801361255,78.13,646.594321012497
51,0.04322041170157827,76.48,631.8108894824982
52,0.03986200492521488,77.61,669.9273934364319
53,0.04328995201349191,78.55,672.128217458725
54,0.03996851936350502,78.19,667.5262641906738
55,0.03849350923057338,76.75,634.3819091320038
56,0.040944731108308666,74.2,664.6249225139618
57,0.040781952836233135,77.31,681.2899317741394
58,0.0368863747004391,76.81,624.3879342079163
59,0.038093661500835,76.51,634.6253070831299
60,0.041312141101668406,75.75,605.0079116821289
61,0.042934869785830825,78.61,648.3442001342773
62,0.03590289303948281,74.58,626.0568583011627
63,0.03958955967783277,77.19,675.3908247947693
64,0.04123256913379957,77.64,635.363404750824
65,0.03818690608053974,76.63,674.4713771343231
66,0.03296039994498108,75.18,630.044225692749
67,0.042501469324450855,75.85,659.8755121231079
68,0.03482927440754631,76.8,612.3036689758301
69,0.03662829000635071,74.96,649.0595095157623
70,0.03531493912678833,77.58,646.0804550647736
71,0.03833959516164227,76.08,681.3505613803864
72,0.03706386785603023,73.76,638.8795993328094
73,0.033652426606390284,73.34,631.4919319152832
74,0.036554346528020296,75.59,622.4965531826019
75,0.032127149817248145,75.54,734.3262827396393
76,0.030110203423699973,75.4,671.3848774433136
77,0.03435137718255389,76.45,587.0291349887848
78,0.03769760559018355,70.83,575.869701385498
79,0.036119208960379595,76.42,617.4213185310364
80,0.03667423610533808,75.78,613.4238212108612
81,0.03511563223707849,71.93,679.7578225135803
82,0.031939249956034164,74.02,605.6429929733276
83,0.039878428573636285,70.49,656.5261700153351
84,0.03368552436812558,74.26,697.2240159511566
85,0.038842592157222786,75.5,625.4933044910431
86,0.032443212632530846,74.95,584.9737119674683
87,0.03240987777283208,76.76,685.7182660102844
88,0.028918823754206256,75.54,642.4264495372772
89,0.03378525303722678,72.54,586.9164535999298
90,0.036146774311341376,72.32,679.334184885025
91,0.03650031977051261,75.79,709.2210550308228
